userId,queryId,rating
17417,10,25
13664,7,31
727,9,41
73608,1,2
75076,8,9
43345,6,32
61566,4,69
32884,1,14
39068,7,84
67326,1,91
18089,10,57
57066,8,22
52759,10,62
23474,6,95
35495,10,1
1559,4,19
72744,6,20
52779,2,6
10675,5,42
54626,8,25
56748,5,40
34016,6,16
58928,6,76
20727,8,42
41212,10,77
39182,8,47
17855,1,2
70905,9,43
52486,3,68
15319,3,84
71018,4,61
33628,9,16
30992,9,53
76175,9,26
20404,4,72
48626,4,8
5838,9,24
12634,7,81
811,4,96
62874,2,26
65529,4,39
1711,1,10
67031,5,43
21208,1,72
18337,7,5
38640,1,95
48937,7,32
2155,10,34
18843,2,74
2131,9,5
50481,1,31
78835,10,8
43125,3,78
15417,6,88
74708,9,80
51959,5,100
73213,7,79
64289,7,76
35779,2,54
3036,9,82
38580,5,100
10854,2,50
46485,4,85
6579,9,53
37542,5,4
63446,1,15
2711,4,34
47021,9,7
23208,2,73
39848,8,6
59741,5,17
76449,8,34
18829,8,29
8186,7,90
69058,2,96
6402,6,88
66141,3,66
63710,1,68
58112,9,79
60808,1,48
23760,7,21
37868,6,61
27631,3,25
75190,6,91
58470,3,33
31127,3,84
23233,3,57
31613,9,94
12282,4,1
59550,10,28
28393,7,83
47834,10,59
51892,3,82
27864,10,51
13690,2,98
29592,4,18
39794,5,17
15108,5,12
53640,8,74
18369,1,27
42600,10,6
5819,9,87
17372,3,31
52736,6,9
63354,9,60
68297,2,44
20654,10,28
36610,8,70
46233,7,17
6689,4,60
37993,6,60
42144,4,44
24033,8,64
56605,7,11
64962,8,78
34284,4,46
74053,1,79
12628,6,94
7187,7,40
35862,3,24
26946,4,70
78803,5,48
41033,8,68
57540,1,33
11604,8,78
9225,9,39
11250,4,61
15039,3,67
14445,5,68
79645,2,77
9988,2,89
52934,4,7
3621,2,42
65510,7,37
3683,7,94
78366,6,44
59944,3,6
16239,6,65
27982,7,14
1597,4,22
67284,1,97
5983,3,68
58083,10,38
13507,2,48
19946,2,74
24151,1,72
51032,9,68
30587,2,40
38092,3,45
6935,9,39
14777,6,97
33513,3,35
78749,5,40
24454,9,82
42972,1,92
69251,2,21
33245,4,46
59262,9,18
19929,1,81
46142,4,76
57189,9,22
48066,6,24
3785,2,84
32536,5,34
59479,5,34
14343,6,75
29469,4,9
28611,8,91
18706,4,77
20495,3,56
67352,5,4
8546,8,17
28289,2,13
7815,8,77
47211,2,71
71666,7,81
33485,6,83
39750,5,94
70754,9,67
18711,8,55
5883,9,60
5864,9,41
21455,3,98
13576,3,14
41995,2,34
15729,5,82
77206,9,92
73301,6,63
70928,9,19
74998,5,7
9182,10,37
31645,1,10
57078,10,99
51996,3,96
8724,10,58
45492,1,35
11549,1,34
36355,3,72
56738,6,12
77733,1,83
58747,8,30
63919,8,27
31805,6,80
21593,8,46
31989,8,4
29956,4,58
22751,10,14
10783,9,93
59404,1,79
22738,1,29
6744,5,74
79341,2,81
39159,1,3
64561,4,82
69206,6,93
64782,3,91
441,4,82
53269,6,28
63768,4,42
38693,1,41
64234,3,81
61650,3,62
30638,10,4
26161,1,65
26720,1,17
4186,2,82
74070,5,43
71818,1,3
78534,10,3
57660,4,60
27084,4,45
16821,6,84
59134,10,99
7635,5,72
57668,3,19
8479,1,1
57803,1,35
20389,1,37
25376,9,85
21839,7,68
23743,6,33
68204,7,43
24258,2,85
67176,6,80
77268,8,46
6801,6,69
53447,7,47
55588,8,53
529,4,59
5496,6,89
10597,6,24
5019,6,21
70053,10,79
47614,8,28
66029,5,100
4301,9,39
48420,6,68
46712,8,10
63418,9,20
58546,8,43
4685,8,65
11437,3,67
40356,6,85
69347,8,81
13331,7,63
7222,9,83
9521,1,55
67170,7,43
44767,6,31
30165,8,39
62332,2,82
43875,7,56
62892,4,94
42642,3,34
2408,7,49
39126,9,39
32535,2,60
75030,5,82
62054,6,48
69503,7,43
42515,10,60
46592,10,45
1792,1,16
68433,6,67
72519,7,46
27668,10,38
34678,6,59
42832,6,49
2309,6,47
35963,7,18
46022,7,91
68128,4,42
18107,3,8
71136,3,100
26029,1,64
68702,3,5
64656,4,53
17302,3,36
47472,6,59
73476,8,68
53432,5,72
62817,2,6
48392,3,73
57193,9,57
34811,1,1
30219,10,79
25540,4,5
77111,5,31
77273,1,16
28272,6,7
71496,1,96
17728,2,43
76241,9,86
70529,10,77
66033,9,32
24357,5,1
25336,6,97
7315,5,61
36894,7,6
57853,1,65
51610,9,79
67476,6,99
28661,4,78
9675,9,68
2146,2,31
48168,4,44
51074,4,73
23933,10,27
74405,2,20
63389,3,82
72833,8,69
66451,6,76
68328,1,43
32194,9,22
64748,9,2
14973,1,40
41894,7,85
60478,5,87
42005,1,21
36663,6,18
51421,8,60
41219,2,67
47176,2,83
4999,5,65
75921,10,26
57229,2,32
20429,10,39
45167,1,27
5187,4,81
50347,3,11
36107,8,41
15625,9,16
60086,5,48
22508,9,32
35014,4,24
39683,3,52
33837,5,87
45895,8,72
49437,7,80
216,9,52
17646,9,83
26277,2,23
44264,4,29
22021,8,80
34782,9,62
54935,10,67
22164,9,86
53741,2,79
15745,2,73
70602,7,25
75140,5,22
25375,1,37
69245,8,15
71189,7,95
70650,5,69
11994,8,94
65844,9,79
78038,1,37
29021,7,84
3890,9,66
32924,4,93
62543,10,24
47971,9,62
10063,4,26
26222,7,9
26938,7,10
30026,2,26
27290,5,23
27188,5,65
49411,4,64
7545,5,99
53610,2,25
72918,7,17
58083,6,52
14379,7,52
78260,2,97
68781,10,42
47028,9,48
77568,7,27
7664,2,74
50507,2,46
57069,6,6
18323,9,55
6910,2,57
7426,1,11
67080,6,93
47926,4,18
11011,1,71
16337,1,69
11764,9,54
66843,6,14
50932,9,83
11831,10,7
34913,4,70
28753,9,74
48490,5,98
68000,8,44
28183,7,99
11346,8,11
57705,5,24
51301,3,85
56010,7,26
78182,1,47
59858,7,71
52470,9,98
21448,10,58
11888,6,93
33927,6,72
65915,1,39
47465,1,65
4184,8,93
10092,5,96
47219,8,75
66627,8,58
43962,5,77
54520,3,18
16229,3,3
32416,6,51
56630,5,92
52932,5,59
78755,1,95
56659,8,70
25204,3,30
43398,5,85
69458,6,94
62112,2,5
38885,8,94
46040,2,62
66465,10,99
55151,2,84
41204,10,56
16691,8,59
70613,2,71
72190,1,99
64816,7,3
32554,10,68
38545,3,98
77387,4,25
50108,9,46
56169,3,39
42591,9,32
13714,4,14
19104,10,33
63127,2,62
34561,3,38
58827,4,23
27667,3,68
75794,5,22
67204,3,3
9914,2,36
23328,10,88
32444,10,10
14717,10,28
69829,7,48
64645,10,73
12927,7,65
78439,6,84
66414,3,21
70718,3,5
32266,9,45
72877,8,7
54526,3,7
17106,1,97
74526,6,4
13270,4,5
78033,8,44
96,9,44
43435,10,63
70866,9,28
50233,10,22
8966,3,76
3888,2,68
68486,6,88
25611,2,20
72472,5,85
47039,5,21
65667,3,34
61554,4,97
24747,2,50
52017,2,42
34903,1,22
27750,4,94
27612,7,13
49370,9,36
66962,8,7
17126,1,25
72701,6,17
54885,10,19
75665,6,16
7303,2,65
4614,7,46
14664,3,3
10730,9,86
51090,4,84
66535,10,26
59878,7,95
17430,4,47
18842,10,78
38295,4,37
48568,8,58
64106,2,82
36880,10,76
2545,5,6
34928,4,76
64772,4,35
25803,4,34
74251,6,69
20999,1,42
50700,4,63
3037,3,42
64851,9,29
21969,5,15
35308,9,15
74138,10,18
27324,1,34
20330,6,71
69356,7,99
