userId,queryId,rating
52759,75,54.0
33293,744,77.0
21950,246,81.0
57276,552,67.0
33656,705,93.0
33866,886,
21958,675,
7288,543,52.0
54601,949,94.0
56318,628,88.0
6180,363,24.0
66342,639,81.0
54500,128,63.0
11169,849,76.0
42984,477,
72780,127,67.0
3688,484,36.0
47875,265,49.0
69867,912,
6102,997,
74955,526,98.0
50217,273,59.0
30596,548,92.0
47112,558,13.0
63626,988,
47668,87,
24589,594,72.0
73457,510,93.0
8012,756,
67984,457,72.0
2725,623,31.0
16061,884,72.0
20804,131,53.0
52069,780,16.0
44058,759,46.0
49587,805,54.0
16668,335,
75368,617,24.0
35433,564,29.0
47491,584,100.0
43117,535,
47562,92,57.0
20121,253,95.0
27222,856,69.0
23240,221,35.0
22007,62,
37510,1,33.0
51244,440,60.0
12080,894,25.0
50626,356,63.0
74241,680,55.0
4968,680,38.0
67242,511,
65309,560,65.0
57177,921,57.0
31680,969,44.0
52577,990,38.0
42448,252,94.0
47264,551,16.0
56701,373,
74128,787,56.0
49352,22,
36949,509,44.0
67982,264,
68622,912,
39060,547,
38557,480,
44420,341,68.0
59808,699,79.0
25944,909,
24070,710,12.0
55096,340,60.0
54423,436,79.0
17154,573,
44281,717,
30713,844,25.0
61611,135,43.0
28459,489,94.0
24619,959,
41573,61,
76994,278,
70101,945,23.0
9820,503,
72783,672,
77547,383,91.0
10636,754,7.0
35522,752,43.0
6876,331,9.0
56087,617,
75406,606,14.0
64078,937,80.0
12024,829,69.0
30442,349,90.0
26341,641,71.0
35386,454,8.0
4748,907,32.0
13996,783,66.0
2162,59,20.0
70031,535,3.0
45290,300,21.0
32457,907,
72253,962,40.0
58111,566,39.0
22676,633,
38401,387,
40677,597,
76251,582,
38036,367,51.0
43085,505,70.0
4932,467,95.0
52448,265,61.0
38302,419,52.0
35245,823,96.0
20233,121,3.0
54919,898,73.0
2,437,
15187,452,5.0
16324,595,32.0
62762,358,5.0
77610,211,66.0
53515,826,62.0
21232,288,24.0
39061,429,8.0
57032,89,7.0
79900,517,20.0
67124,354,97.0
40078,131,
24821,732,54.0
1136,895,3.0
25178,544,36.0
14070,433,28.0
32454,568,96.0
79686,343,72.0
39446,781,78.0
59048,281,77.0
50463,114,
32960,550,7.0
70154,846,25.0
31549,134,24.0
79645,679,9.0
41497,361,53.0
2708,144,
17620,807,27.0
28763,465,7.0
55619,368,28.0
44173,548,27.0
50040,576,78.0
63295,168,70.0
30384,971,68.0
59841,97,37.0
1194,452,51.0
66383,733,79.0
65739,353,63.0
48807,889,44.0
6940,507,9.0
41407,897,86.0
26679,84,79.0
57350,996,
8528,490,
38411,889,
39876,338,49.0
59195,235,62.0
16081,760,35.0
79736,955,
5313,329,68.0
59232,321,92.0
53595,277,92.0
43858,90,12.0
33742,94,15.0
32123,741,43.0
17989,237,89.0
78009,554,86.0
58294,478,21.0
1078,674,43.0
63408,199,34.0
10424,601,
18463,693,75.0
52283,741,67.0
6947,421,44.0
15411,952,87.0
22542,537,47.0
52407,334,33.0
6963,973,100.0
2784,224,29.0
48952,71,48.0
15999,437,45.0
20697,829,
41841,635,35.0
6826,892,
44535,952,82.0
11037,97,4.0
39221,829,
15720,256,74.0
19359,438,1.0
69933,119,
12645,82,21.0
48539,526,35.0
27945,340,
14170,581,97.0
78370,142,41.0
69209,947,20.0
17347,712,17.0
64457,49,73.0
2330,782,1.0
21576,825,92.0
21752,280,
38134,291,
14225,688,29.0
66328,337,
70015,917,34.0
56433,670,100.0
74644,423,
72117,274,45.0
41216,140,72.0
33365,772,49.0
9318,189,63.0
11370,560,21.0
21673,256,
37564,144,71.0
78862,775,74.0
65246,783,20.0
14685,899,40.0
42945,944,69.0
49291,209,
35085,654,81.0
1865,641,
51899,610,
61204,396,25.0
50590,496,6.0
22587,411,3.0
30048,411,99.0
37676,32,80.0
48598,331,20.0
23165,824,
11666,22,30.0
46869,682,
25741,321,
68993,696,37.0
78941,122,69.0
68526,848,87.0
20844,508,
16758,725,26.0
28442,441,71.0
4965,367,33.0
75416,253,84.0
11733,121,70.0
72513,489,23.0
35129,947,44.0
64210,780,79.0
60059,258,94.0
36795,813,15.0
27988,835,49.0
953,79,57.0
775,855,5.0
70034,861,61.0
55651,50,
39894,420,85.0
26566,853,78.0
42998,576,28.0
20897,421,30.0
2144,771,
65160,567,
41708,213,72.0
50960,127,96.0
44123,215,93.0
4788,390,
10040,315,
58994,728,34.0
54557,173,
1653,414,
46740,273,38.0
54355,992,9.0
39633,836,76.0
58192,726,29.0
60797,23,
69742,179,54.0
76676,838,88.0
38005,331,78.0
57808,440,
63752,712,78.0
41804,733,25.0
54310,651,1.0
74711,105,65.0
25440,292,96.0
55653,783,10.0
7092,366,35.0
40572,152,33.0
63760,501,
57213,982,52.0
46460,450,9.0
54106,79,
74586,883,7.0
26472,431,86.0
434,939,43.0
52631,545,52.0
56775,973,24.0
53663,541,41.0
61157,525,97.0
6002,462,28.0
41025,865,
33320,589,90.0
16351,995,94.0
64668,980,36.0
22806,970,10.0
19956,914,52.0
70182,133,51.0
9777,618,71.0
20018,199,20.0
34769,21,42.0
1053,449,6.0
52940,467,52.0
12740,554,69.0
63979,952,23.0
6210,782,15.0
31072,138,45.0
7153,272,
34310,61,57.0
77700,154,47.0
53401,17,30.0
58283,333,3.0
1271,588,55.0
6020,262,87.0
43971,673,
535,186,
42770,818,100.0
63534,132,94.0
29232,540,7.0
43069,173,21.0
7631,279,
36962,850,44.0
9837,131,21.0
68764,126,59.0
12370,792,
79304,843,11.0
25076,782,59.0
21989,736,37.0
44339,548,16.0
27391,166,77.0
27437,486,24.0
30313,473,96.0
5613,743,14.0
44589,799,87.0
73148,477,87.0
73938,478,48.0
66865,249,97.0
39453,48,91.0
59580,637,87.0
12017,314,28.0
79234,537,32.0
45372,376,15.0
45310,141,93.0
20724,338,61.0
31713,137,97.0
46914,263,73.0
65750,169,63.0
59515,707,27.0
30030,160,21.0
12046,9,21.0
20825,373,21.0
25105,84,71.0
15501,529,95.0
10384,321,1.0
30132,417,15.0
59942,223,10.0
24994,742,9.0
79316,351,6.0
33871,840,59.0
41514,105,55.0
15462,63,48.0
49205,465,
62542,575,79.0
50323,63,
21003,578,8.0
46033,914,
63101,487,99.0
24230,397,46.0
60651,247,62.0
61270,495,90.0
74437,586,27.0
51589,312,65.0
24551,851,94.0
45668,299,97.0
22969,633,75.0
49590,889,73.0
5509,268,
74673,581,83.0
8634,437,20.0
16614,976,16.0
1941,279,69.0
48038,622,32.0
60760,303,99.0
24686,322,
33542,964,14.0
11142,59,67.0
12471,457,
35310,584,76.0
58480,402,71.0
18255,927,
66012,484,32.0
2162,398,
21423,274,27.0
20742,671,70.0
53254,741,23.0
60888,319,32.0
48924,52,42.0
23955,365,5.0
17718,723,43.0
28032,225,50.0
49513,281,
44429,379,51.0
48368,705,61.0
26027,161,28.0
64434,899,48.0
48455,897,77.0
60515,794,75.0
1292,515,84.0
59988,526,39.0
25695,894,48.0
