userId,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
user0,,62.0,,10.0,96.0,41.0,2.0,21.0,93.0,13.0
user1,,70.0,62.0,43.0,33.0,,26.0,7.0,89.0,94.0
user2,86.0,,72.0,,8.0,68.0,50.0,,68.0,98.0
user3,,28.0,75.0,73.0,75.0,39.0,22.0,41.0,63.0,35.0
user4,43.0,75.0,90.0,88.0,31.0,94.0,52.0,34.0,47.0,44.0
user5,40.0,37.0,,72.0,,43.0,58.0,,16.0,49.0
user6,90.0,,56.0,27.0,6.0,,,7.0,76.0,32.0
user7,1.0,,35.0,22.0,46.0,8.0,86.0,56.0,,12.0
user8,83.0,26.0,,22.0,,,45.0,28.0,,
user9,99.0,30.0,27.0,2.0,73.0,87.0,,37.0,,85.0
user10,34.0,31.0,80.0,87.0,,6.0,,33.0,,74.0
user11,27.0,27.0,79.0,64.0,67.0,,,10.0,74.0,
user12,,43.0,63.0,96.0,,49.0,,86.0,88.0,5.0
user13,31.0,,21.0,31.0,86.0,48.0,26.0,,33.0,15.0
user14,,12.0,26.0,49.0,96.0,52.0,52.0,48.0,49.0,83.0
user15,19.0,,75.0,41.0,,,10.0,50.0,100.0,45.0
user16,,49.0,93.0,,11.0,36.0,,,45.0,19.0
user17,7.0,,,69.0,17.0,52.0,67.0,51.0,,
user18,,77.0,,29.0,,34.0,80.0,77.0,100.0,21.0
user19,77.0,74.0,80.0,5.0,73.0,59.0,57.0,70.0,89.0,89.0
user20,35.0,,,52.0,,79.0,,28.0,32.0,37.0
user21,73.0,69.0,43.0,,,99.0,,97.0,,10.0
user22,,,,81.0,,,21.0,,49.0,
user23,,34.0,,98.0,46.0,95.0,31.0,74.0,66.0,68.0
user24,83.0,,25.0,43.0,82.0,,77.0,26.0,,70.0
user25,3.0,4.0,,25.0,55.0,,,19.0,57.0,70.0
user26,59.0,62.0,51.0,92.0,77.0,100.0,99.0,80.0,92.0,
user27,,,19.0,75.0,63.0,22.0,82.0,8.0,98.0,99.0
user28,27.0,,15.0,44.0,64.0,33.0,,29.0,73.0,
user29,,42.0,10.0,,61.0,37.0,1.0,51.0,54.0,86.0
user30,88.0,21.0,94.0,,6.0,11.0,50.0,73.0,71.0,57.0
user31,77.0,6.0,5.0,59.0,12.0,62.0,68.0,92.0,,76.0
user32,46.0,20.0,92.0,,95.0,11.0,58.0,2.0,61.0,86.0
user33,78.0,,82.0,69.0,95.0,,90.0,48.0,,29.0
user34,52.0,88.0,13.0,58.0,55.0,71.0,94.0,,31.0,41.0
user35,68.0,19.0,21.0,11.0,2.0,73.0,31.0,40.0,42.0,41.0
user36,13.0,36.0,71.0,55.0,41.0,53.0,43.0,48.0,27.0,
user37,,47.0,58.0,60.0,79.0,42.0,67.0,45.0,57.0,90.0
user38,63.0,14.0,89.0,,55.0,78.0,11.0,51.0,74.0,12.0
user39,27.0,47.0,31.0,71.0,99.0,2.0,,7.0,31.0,
user40,31.0,,58.0,50.0,69.0,,1.0,44.0,17.0,96.0
user41,47.0,,91.0,80.0,,33.0,,17.0,38.0,
user42,,34.0,23.0,65.0,18.0,24.0,63.0,71.0,,29.0
user43,11.0,36.0,33.0,10.0,79.0,12.0,60.0,11.0,75.0,
user44,87.0,55.0,33.0,88.0,28.0,52.0,98.0,70.0,43.0,55.0
user45,,77.0,,92.0,78.0,92.0,,33.0,33.0,
user46,,40.0,7.0,13.0,53.0,3.0,21.0,82.0,67.0,42.0
user47,71.0,55.0,76.0,67.0,21.0,,3.0,,,26.0
user48,40.0,19.0,64.0,51.0,81.0,30.0,,70.0,71.0,3.0
user49,51.0,76.0,10.0,,59.0,1.0,76.0,52.0,13.0,56.0
user50,28.0,24.0,49.0,91.0,99.0,47.0,78.0,48.0,,5.0
user51,,59.0,38.0,,76.0,86.0,70.0,100.0,91.0,
user52,14.0,82.0,100.0,10.0,,66.0,11.0,4.0,,
user53,68.0,,84.0,65.0,78.0,46.0,1.0,19.0,26.0,
user54,56.0,40.0,96.0,35.0,37.0,73.0,73.0,26.0,31.0,
user55,84.0,40.0,,15.0,,39.0,37.0,1.0,18.0,90.0
user56,83.0,63.0,53.0,26.0,46.0,23.0,26.0,68.0,36.0,
user57,73.0,69.0,41.0,41.0,,100.0,95.0,61.0,93.0,96.0
user58,10.0,34.0,,23.0,17.0,16.0,95.0,44.0,71.0,38.0
user59,72.0,17.0,34.0,,69.0,83.0,,46.0,76.0,6.0
user60,,,44.0,57.0,60.0,93.0,35.0,3.0,54.0,46.0
user61,33.0,,,92.0,96.0,89.0,76.0,79.0,57.0,48.0
user62,,64.0,16.0,10.0,1.0,59.0,43.0,90.0,24.0,29.0
user63,73.0,91.0,16.0,14.0,45.0,7.0,40.0,3.0,,10.0
user64,,,24.0,90.0,,95.0,40.0,56.0,,
user65,6.0,23.0,16.0,9.0,77.0,31.0,,34.0,78.0,
user66,14.0,98.0,46.0,21.0,89.0,53.0,46.0,44.0,81.0,59.0
user67,82.0,43.0,,34.0,60.0,71.0,72.0,90.0,,
user68,,38.0,44.0,20.0,52.0,,,60.0,18.0,
user69,91.0,,52.0,99.0,59.0,,77.0,,60.0,17.0
user70,,54.0,65.0,15.0,99.0,57.0,,,10.0,47.0
user71,31.0,8.0,57.0,92.0,73.0,92.0,,,65.0,30.0
user72,80.0,30.0,4.0,65.0,,69.0,33.0,,80.0,
user73,41.0,,30.0,1.0,88.0,,,51.0,95.0,30.0
user74,36.0,69.0,36.0,81.0,60.0,10.0,,18.0,4.0,73.0
user75,91.0,,,79.0,,57.0,89.0,74.0,53.0,54.0
user76,78.0,,24.0,5.0,27.0,,18.0,50.0,55.0,93.0
user77,,65.0,59.0,48.0,,61.0,5.0,22.0,49.0,74.0
user78,17.0,38.0,,83.0,19.0,70.0,,,36.0,20.0
user79,,,18.0,90.0,28.0,28.0,21.0,31.0,37.0,
user80,4.0,31.0,,95.0,89.0,75.0,,32.0,80.0,33.0
user81,7.0,66.0,5.0,8.0,8.0,60.0,40.0,71.0,95.0,89.0
user82,74.0,62.0,29.0,66.0,73.0,7.0,,36.0,94.0,97.0
user83,62.0,38.0,29.0,51.0,41.0,19.0,23.0,15.0,47.0,17.0
user84,5.0,41.0,44.0,21.0,,74.0,45.0,11.0,84.0,72.0
user85,,28.0,71.0,72.0,81.0,,30.0,1.0,63.0,75.0
user86,7.0,31.0,15.0,19.0,59.0,71.0,61.0,91.0,,9.0
user87,96.0,17.0,,,97.0,58.0,38.0,61.0,2.0,19.0
